代码,名称,二级行业代码,二级行业名称,三级行业代码,三级行业名称
600909,华安证券,2070,证券期货,5188,证券
600917,重庆燃气,2053,公用事业,5137,供气
600919,江苏银行,2069,银行,5186,银行Ⅱ
600926,杭州银行,2069,银行,5186,银行Ⅱ
600933,爱柯迪,2043,汽车配件,5129,汽车配件Ⅱ
600936,广西广电,2073,文化传媒,5171,有线电视网络
600939,重庆建工,2054,工程建筑,5192,一般工程
600958,东方证券,2070,证券期货,5188,证券
600959,江苏有线,2073,文化传媒,5171,有线电视网络
600960,渤海活塞,2043,汽车配件,5128,汽车发动机
600961,株冶集团,2007,有色金属,5021,金属采掘
600962,国投中鲁,2009,食品饮料,5214,饮料
600963,岳阳林纸,2014,造纸,5043,普通纸
600965,福成股份,2002,牧渔,5004,养殖畜牧
600966,博汇纸业,2014,造纸,5043,普通纸
600967,内蒙一机,2045,航天国防,5130,航天国防Ⅱ
600969,郴电国际,2052,电力,5134,水电
600970,中材国际,2054,工程建筑,5193,专业工程
600971,恒源煤电,2004,煤炭,5010,煤炭Ⅱ
600973,宝胜股份,2039,电气设备,5116,输变电设备
600975,新五丰,2002,牧渔,5004,养殖畜牧
600976,健民集团,2022,中药,5074,中成药
600977,中国电影,2073,文化传媒,5173,广播电影电视
600978,宜华生活,2013,木材家具,5042,木材家具Ⅱ
600979,广安爱众,2052,电力,5134,水电
600980,北矿科技,2077,复合材料,5082,复合材料Ⅱ
600981,汇鸿集团,2064,贸易,5159,贸易Ⅱ
600982,宁波热电,2052,电力,5135,火电
600983,惠而浦,2040,家电,5122,白色家电
600984,建设机械,2034,工程机械,5098,工程机械Ⅱ
600985,雷鸣科化,2016,化工,5052,民爆
600986,科达股份,2076,互联网,5158,互联网Ⅱ
600987,航民股份,2011,纺织,5035,印染
600988,赤峰黄金,2008,有色矿采,5201,黄金
600990,四创电子,2045,航天国防,5130,航天国防Ⅱ
600992,贵绳股份,2033,金属制品,5093,金属制品Ⅱ
600993,马应龙,2022,中药,5074,中成药
600995,文山电力,2052,电力,5134,水电
600996,贵广网络,2073,文化传媒,5171,有线电视网络
600997,开滦股份,2004,煤炭,5010,煤炭Ⅱ
600998,九州通,2024,医药流通,5080,医药流通Ⅱ
600999,招商证券,2070,证券期货,5188,证券
601000,唐山港,2060,港口,5182,港口Ⅱ
